date,ticker,spot_price,implied_vol
2025-06-01,AAPL,86.0,0.2774
2025-06-02,AAPL,86.22,0.307
2025-06-03,AAPL,87.83,0.3396
2025-06-04,AAPL,87.07,0.372
2025-06-05,AAPL,86.16,0.3496
2025-06-06,AAPL,87.6,0.3206
2025-06-07,AAPL,87.32,0.3944
2025-06-08,AAPL,86.36,0.3628
2025-06-09,AAPL,85.8,0.3539
2025-06-10,AAPL,85.16,0.3556
2025-06-11,AAPL,84.87,0.3995
2025-06-12,AAPL,84.29,0.3921
2025-06-13,AAPL,84.02,0.3977
2025-06-14,AAPL,83.98,0.4189
2025-06-15,AAPL,82.75,0.3783
2025-06-16,AAPL,81.56,0.4217
2025-06-17,AAPL,82.4,0.3828
2025-06-18,AAPL,79.92,0.4341
2025-06-19,AAPL,79.77,0.3994
2025-06-20,AAPL,79.12,0.3645
2025-06-21,AAPL,79.56,0.3368
2025-06-22,AAPL,80.62,0.3869
2025-06-23,AAPL,79.5,0.3558
2025-06-24,AAPL,78.69,0.352
2025-06-25,AAPL,79.28,0.3615
2025-06-26,AAPL,77.58,0.3568
2025-06-27,AAPL,78.96,0.351
2025-06-28,AAPL,78.12,0.2926
2025-06-29,AAPL,81.09,0.334
2025-06-30,AAPL,78.63,0.2831
2025-06-01,MSFT,111.27,0.3253
2025-06-02,MSFT,110.74,0.3209
2025-06-03,MSFT,112.4,0.3651
2025-06-04,MSFT,112.34,0.3607
2025-06-05,MSFT,111.49,0.3287
2025-06-06,MSFT,111.99,0.3936
2025-06-07,MSFT,112.25,0.3879
2025-06-08,MSFT,112.34,0.4202
2025-06-09,MSFT,109.31,0.4024
2025-06-10,MSFT,109.39,0.3906
2025-06-11,MSFT,109.94,0.4079
2025-06-12,MSFT,109.51,0.4326
2025-06-13,MSFT,109.51,0.4046
2025-06-14,MSFT,109.44,0.4135
2025-06-15,MSFT,107.82,0.4191
2025-06-16,MSFT,105.8,0.4006
2025-06-17,MSFT,108.03,0.4073
2025-06-18,MSFT,104.27,0.4235
2025-06-19,MSFT,105.0,0.4407
2025-06-20,MSFT,103.98,0.4184
2025-06-21,MSFT,105.56,0.4056
2025-06-22,MSFT,104.78,0.3833
2025-06-23,MSFT,103.98,0.4144
2025-06-24,MSFT,105.45,0.393
2025-06-25,MSFT,103.48,0.3612
2025-06-26,MSFT,102.37,0.3838
2025-06-27,MSFT,103.69,0.3669
2025-06-28,MSFT,103.21,0.3291
2025-06-29,MSFT,104.53,0.3326
2025-06-30,MSFT,104.43,0.314
2025-06-01,AMZN,115.6,0.3963
2025-06-02,AMZN,115.82,0.4237
2025-06-03,AMZN,117.48,0.4237
2025-06-04,AMZN,116.48,0.4172
2025-06-05,AMZN,115.63,0.3853
2025-06-06,AMZN,117.01,0.4284
2025-06-07,AMZN,117.13,0.4228
2025-06-08,AMZN,116.14,0.4476
2025-06-09,AMZN,114.05,0.4261
2025-06-10,AMZN,114.84,0.4527
2025-06-11,AMZN,114.82,0.4522
2025-06-12,AMZN,113.68,0.4561
2025-06-13,AMZN,113.85,0.4598
2025-06-14,AMZN,113.71,0.4701
2025-06-15,AMZN,111.23,0.4798
2025-06-16,AMZN,109.98,0.4241
2025-06-17,AMZN,111.54,0.4254
2025-06-18,AMZN,109.61,0.4638
2025-06-19,AMZN,109.83,0.4632
2025-06-20,AMZN,107.79,0.4664
2025-06-21,AMZN,109.31,0.4425
2025-06-22,AMZN,109.5,0.4507
2025-06-23,AMZN,109.84,0.4456
2025-06-24,AMZN,109.34,0.4201
2025-06-25,AMZN,107.49,0.4461
2025-06-26,AMZN,107.77,0.4198
2025-06-27,AMZN,108.62,0.4172
2025-06-28,AMZN,108.02,0.3972
2025-06-29,AMZN,108.63,0.4272
2025-06-30,AMZN,108.69,0.3863
2025-06-01,SSNLF,82.32,0.4532
2025-06-02,SSNLF,83.04,0.4606
2025-06-03,SSNLF,83.02,0.4933
2025-06-04,SSNLF,83.63,0.5373
2025-06-05,SSNLF,83.14,0.5147
2025-06-06,SSNLF,83.7,0.5673
2025-06-07,SSNLF,84.1,0.5683
2025-06-08,SSNLF,83.22,0.5582
2025-06-09,SSNLF,81.34,0.5668
2025-06-10,SSNLF,81.18,0.5722
2025-06-11,SSNLF,81.25,0.5753
2025-06-12,SSNLF,81.91,0.5693
2025-06-13,SSNLF,79.7,0.5751
2025-06-14,SSNLF,80.2,0.5611
2025-06-15,SSNLF,78.48,0.5394
2025-06-16,SSNLF,78.01,0.6057
2025-06-17,SSNLF,77.97,0.5856
2025-06-18,SSNLF,76.62,0.5803
2025-06-19,SSNLF,75.61,0.5847
2025-06-20,SSNLF,74.84,0.5556
2025-06-21,SSNLF,76.04,0.5466
2025-06-22,SSNLF,76.97,0.5544
2025-06-23,SSNLF,75.57,0.58
2025-06-24,SSNLF,77.43,0.521
2025-06-25,SSNLF,74.85,0.4829
2025-06-26,SSNLF,73.3,0.5155
2025-06-27,SSNLF,75.9,0.5387
2025-06-28,SSNLF,74.61,0.4708
2025-06-29,SSNLF,76.1,0.4712
2025-06-30,SSNLF,75.79,0.4892
2025-06-01,SHEL,112.0,0.3653
2025-06-02,SHEL,112.52,0.3778
2025-06-03,SHEL,114.45,0.4063
2025-06-04,SHEL,113.06,0.4017
2025-06-05,SHEL,111.72,0.4331
2025-06-06,SHEL,112.53,0.4254
2025-06-07,SHEL,111.49,0.4577
2025-06-08,SHEL,112.41,0.426
2025-06-09,SHEL,111.48,0.4451
2025-06-10,SHEL,111.06,0.4653
2025-06-11,SHEL,109.92,0.4429
2025-06-12,SHEL,111.16,0.4431
2025-06-13,SHEL,109.83,0.4498
2025-06-14,SHEL,109.2,0.4497
2025-06-15,SHEL,110.05,0.4763
2025-06-16,SHEL,108.33,0.4292
2025-06-17,SHEL,107.96,0.4336
2025-06-18,SHEL,108.97,0.4997
2025-06-19,SHEL,108.24,0.4445
2025-06-20,SHEL,109.13,0.4584
2025-06-21,SHEL,109.83,0.4191
2025-06-22,SHEL,108.38,0.4442
2025-06-23,SHEL,109.21,0.4205
2025-06-24,SHEL,108.92,0.3954
2025-06-25,SHEL,106.92,0.4444
2025-06-26,SHEL,107.68,0.4318
2025-06-27,SHEL,107.12,0.396
2025-06-28,SHEL,108.69,0.4077
2025-06-29,SHEL,107.67,0.4151
2025-06-30,SHEL,106.91,0.3813
2025-06-01,BP,127.53,0.5053
2025-06-02,BP,126.69,0.5056
2025-06-03,BP,128.23,0.491
2025-06-04,BP,128.11,0.4831
2025-06-05,BP,126.81,0.5048
2025-06-06,BP,126.64,0.5183
2025-06-07,BP,125.69,0.5422
2025-06-08,BP,126.61,0.5498
2025-06-09,BP,125.09,0.5825
2025-06-10,BP,125.53,0.5484
2025-06-11,BP,124.96,0.5377
2025-06-12,BP,124.85,0.5493
2025-06-13,BP,124.13,0.5754
2025-06-14,BP,123.17,0.5636
2025-06-15,BP,123.94,0.5735
2025-06-16,BP,123.67,0.5703
2025-06-17,BP,123.9,0.598
2025-06-18,BP,123.08,0.5642
2025-06-19,BP,123.13,0.5649
2025-06-20,BP,124.28,0.5823
2025-06-21,BP,123.8,0.5511
2025-06-22,BP,123.56,0.5643
2025-06-23,BP,123.88,0.555
2025-06-24,BP,123.21,0.543
2025-06-25,BP,122.15,0.5085
2025-06-26,BP,123.04,0.5462
2025-06-27,BP,121.22,0.556
2025-06-28,BP,121.41,0.5013
2025-06-29,BP,121.55,0.4696
2025-06-30,BP,121.79,0.4803
2025-06-01,XOM,101.45,0.4212
2025-06-02,XOM,101.35,0.4797
2025-06-03,XOM,103.28,0.4694
2025-06-04,XOM,102.59,0.4848
2025-06-05,XOM,101.77,0.4783
2025-06-06,XOM,100.92,0.4737
2025-06-07,XOM,100.2,0.5027
2025-06-08,XOM,99.98,0.5132
2025-06-09,XOM,100.39,0.4892
2025-06-10,XOM,100.04,0.5393
2025-06-11,XOM,99.15,0.549
2025-06-12,XOM,98.58,0.519
2025-06-13,XOM,98.75,0.5166
2025-06-14,XOM,99.23,0.5333
2025-06-15,XOM,97.79,0.541
2025-06-16,XOM,98.41,0.5353
2025-06-17,XOM,97.87,0.5382
2025-06-18,XOM,97.57,0.5415
2025-06-19,XOM,96.39,0.5063
2025-06-20,XOM,98.17,0.5041
2025-06-21,XOM,98.21,0.4691
2025-06-22,XOM,98.56,0.5359
2025-06-23,XOM,97.57,0.5099
2025-06-24,XOM,99.07,0.5223
2025-06-25,XOM,96.38,0.4696
2025-06-26,XOM,96.72,0.4833
2025-06-27,XOM,95.22,0.4771
2025-06-28,XOM,96.61,0.4511
2025-06-29,XOM,96.44,0.4206
2025-06-30,XOM,97.46,0.4758
2025-06-01,TSLA,110.99,0.424
2025-06-02,TSLA,111.65,0.4682
2025-06-03,TSLA,111.28,0.4951
2025-06-04,TSLA,112.95,0.4553
2025-06-05,TSLA,111.86,0.5003
2025-06-06,TSLA,111.41,0.4876
2025-06-07,TSLA,112.8,0.4918
2025-06-08,TSLA,115.32,0.5343
2025-06-09,TSLA,116.11,0.5115
2025-06-10,TSLA,113.58,0.5242
2025-06-11,TSLA,112.44,0.5288
2025-06-12,TSLA,113.16,0.4959
2025-06-13,TSLA,112.28,0.5376
2025-06-14,TSLA,112.99,0.5229
2025-06-15,TSLA,113.51,0.5069
2025-06-16,TSLA,113.35,0.525
2025-06-17,TSLA,113.42,0.5237
2025-06-18,TSLA,113.8,0.5525
2025-06-19,TSLA,112.24,0.5072
2025-06-20,TSLA,111.26,0.5081
2025-06-21,TSLA,111.37,0.5231
2025-06-22,TSLA,111.5,0.4853
2025-06-23,TSLA,111.75,0.4912
2025-06-24,TSLA,113.98,0.4628
2025-06-25,TSLA,113.98,0.5056
2025-06-26,TSLA,113.01,0.4716
2025-06-27,TSLA,115.91,0.4673
2025-06-28,TSLA,113.99,0.4755
2025-06-29,TSLA,112.15,0.432
2025-06-30,TSLA,111.38,0.4294
2025-06-01,TM,147.39,0.2213
2025-06-02,TM,148.55,0.205
2025-06-03,TM,148.51,0.2351
2025-06-04,TM,148.97,0.2351
2025-06-05,TM,149.68,0.25
2025-06-06,TM,148.88,0.2677
2025-06-07,TM,149.5,0.2759
2025-06-08,TM,151.84,0.2951
2025-06-09,TM,153.09,0.3054
2025-06-10,TM,151.37,0.2981
2025-06-11,TM,149.23,0.3145
2025-06-12,TM,150.38,0.3
2025-06-13,TM,149.48,0.3407
2025-06-14,TM,149.98,0.3054
2025-06-15,TM,152.19,0.3419
2025-06-16,TM,150.78,0.2884
2025-06-17,TM,150.05,0.3092
2025-06-18,TM,150.2,0.3078
2025-06-19,TM,148.92,0.3166
2025-06-20,TM,147.86,0.3237
2025-06-21,TM,149.08,0.2759
2025-06-22,TM,147.2,0.2722
2025-06-23,TM,149.16,0.2589
2025-06-24,TM,151.25,0.3051
2025-06-25,TM,151.53,0.2757
2025-06-26,TM,150.49,0.2385
2025-06-27,TM,153.08,0.2413
2025-06-28,TM,150.78,0.2633
2025-06-29,TM,149.78,0.2235
2025-06-30,TM,149.44,0.2115
2025-06-01,MBGYY,98.4,0.285
2025-06-02,MBGYY,99.8,0.3127
2025-06-03,MBGYY,98.36,0.338
2025-06-04,MBGYY,99.81,0.3088
2025-06-05,MBGYY,99.51,0.3396
2025-06-06,MBGYY,98.89,0.3388
2025-06-07,MBGYY,100.54,0.3628
2025-06-08,MBGYY,101.49,0.3889
2025-06-09,MBGYY,102.57,0.3614
2025-06-10,MBGYY,101.89,0.3393
2025-06-11,MBGYY,98.96,0.3932
2025-06-12,MBGYY,100.8,0.3662
2025-06-13,MBGYY,99.54,0.3834
2025-06-14,MBGYY,99.46,0.4044
2025-06-15,MBGYY,100.98,0.3958
2025-06-16,MBGYY,99.94,0.3878
2025-06-17,MBGYY,99.98,0.3771
2025-06-18,MBGYY,100.4,0.3284
2025-06-19,MBGYY,98.7,0.3969
2025-06-20,MBGYY,98.45,0.3733
2025-06-21,MBGYY,98.73,0.4031
2025-06-22,MBGYY,98.09,0.3742
2025-06-23,MBGYY,99.14,0.348
2025-06-24,MBGYY,101.17,0.3719
2025-06-25,MBGYY,102.17,0.3647
2025-06-26,MBGYY,100.89,0.3277
2025-06-27,MBGYY,103.02,0.3459
2025-06-28,MBGYY,101.87,0.3005
2025-06-29,MBGYY,99.03,0.3041
2025-06-30,MBGYY,98.46,0.3016
2025-06-01,HSBC,132.27,0.4719
2025-06-02,HSBC,131.85,0.4655
2025-06-03,HSBC,131.76,0.4258
2025-06-04,HSBC,131.21,0.4907
2025-06-05,HSBC,130.91,0.4721
2025-06-06,HSBC,132.77,0.497
2025-06-07,HSBC,130.96,0.5222
2025-06-08,HSBC,130.55,0.4993
2025-06-09,HSBC,130.09,0.4848
2025-06-10,HSBC,129.76,0.5544
2025-06-11,HSBC,130.18,0.5531
2025-06-12,HSBC,131.81,0.5327
2025-06-13,HSBC,130.3,0.5549
2025-06-14,HSBC,131.35,0.5328
2025-06-15,HSBC,132.23,0.5433
2025-06-16,HSBC,132.43,0.5385
2025-06-17,HSBC,132.56,0.5336
2025-06-18,HSBC,130.56,0.5451
2025-06-19,HSBC,131.51,0.5103
2025-06-20,HSBC,131.75,0.5249
2025-06-21,HSBC,131.37,0.5306
2025-06-22,HSBC,133.42,0.5546
2025-06-23,HSBC,133.53,0.487
2025-06-24,HSBC,134.2,0.5126
2025-06-25,HSBC,134.37,0.5058
2025-06-26,HSBC,131.57,0.4461
2025-06-27,HSBC,130.94,0.4818
2025-06-28,HSBC,133.22,0.4808
2025-06-29,HSBC,131.02,0.4643
2025-06-30,HSBC,129.64,0.44
2025-06-01,BABA,130.65,0.4901
2025-06-02,BABA,131.8,0.486
2025-06-03,BABA,132.45,0.5006
2025-06-04,BABA,132.82,0.5274
2025-06-05,BABA,135.88,0.5447
2025-06-06,BABA,135.56,0.5134
2025-06-07,BABA,135.03,0.5389
2025-06-08,BABA,135.05,0.5369
2025-06-09,BABA,136.19,0.5672
2025-06-10,BABA,134.32,0.5571
2025-06-11,BABA,134.65,0.568
2025-06-12,BABA,135.57,0.5665
2025-06-13,BABA,135.77,0.5733
2025-06-14,BABA,138.29,0.6118
2025-06-15,BABA,140.28,0.6267
2025-06-16,BABA,141.39,0.5864
2025-06-17,BABA,138.79,0.5757
2025-06-18,BABA,142.0,0.5435
2025-06-19,BABA,140.64,0.5568
2025-06-20,BABA,141.08,0.5649
2025-06-21,BABA,140.92,0.5476
2025-06-22,BABA,140.64,0.5431
2025-06-23,BABA,140.95,0.5794
2025-06-24,BABA,140.15,0.5402
2025-06-25,BABA,139.02,0.5331
2025-06-26,BABA,139.38,0.5077
2025-06-27,BABA,140.49,0.5347
2025-06-28,BABA,142.16,0.4964
2025-06-29,BABA,141.13,0.4796
2025-06-30,BABA,137.94,0.4476
2025-06-01,PG,83.43,0.3394
2025-06-02,PG,84.04,0.3347
2025-06-03,PG,82.18,0.3587
2025-06-04,PG,82.22,0.3808
2025-06-05,PG,82.46,0.3811
2025-06-06,PG,81.86,0.3661
2025-06-07,PG,82.46,0.3852
2025-06-08,PG,81.91,0.432
2025-06-09,PG,83.66,0.4175
2025-06-10,PG,81.82,0.4343
2025-06-11,PG,80.23,0.4281
2025-06-12,PG,80.39,0.4438
2025-06-13,PG,79.75,0.4231
2025-06-14,PG,81.27,0.418
2025-06-15,PG,82.63,0.4498
2025-06-16,PG,83.71,0.4571
2025-06-17,PG,82.51,0.4151
2025-06-18,PG,82.42,0.4196
2025-06-19,PG,83.63,0.4244
2025-06-20,PG,82.38,0.4555
2025-06-21,PG,83.48,0.4288
2025-06-22,PG,83.88,0.3845
2025-06-23,PG,81.33,0.4017
2025-06-24,PG,80.82,0.3904
2025-06-25,PG,80.53,0.3629
2025-06-26,PG,82.04,0.3747
2025-06-27,PG,82.9,0.361
2025-06-28,PG,83.64,0.3491
2025-06-29,PG,84.42,0.3375
2025-06-30,PG,83.07,0.3643
2025-06-01,ULVR,119.34,0.1945
2025-06-02,ULVR,119.65,0.2455
2025-06-03,ULVR,119.63,0.2061
2025-06-04,ULVR,119.6,0.2806
2025-06-05,ULVR,119.42,0.2315
2025-06-06,ULVR,118.63,0.2728
2025-06-07,ULVR,119.03,0.2639
2025-06-08,ULVR,119.24,0.2686
2025-06-09,ULVR,120.21,0.2571
2025-06-10,ULVR,118.18,0.2871
2025-06-11,ULVR,117.63,0.2715
2025-06-12,ULVR,116.89,0.2655
2025-06-13,ULVR,117.18,0.305
2025-06-14,ULVR,116.89,0.2923
2025-06-15,ULVR,118.14,0.3398
2025-06-16,ULVR,119.94,0.3262
2025-06-17,ULVR,120.29,0.3389
2025-06-18,ULVR,120.16,0.2891
2025-06-19,ULVR,120.3,0.302
2025-06-20,ULVR,119.58,0.2423
2025-06-21,ULVR,119.72,0.2835
2025-06-22,ULVR,119.25,0.2846
2025-06-23,ULVR,118.01,0.2782
2025-06-24,ULVR,117.67,0.2661
2025-06-25,ULVR,117.83,0.2593
2025-06-26,ULVR,118.01,0.1942
2025-06-27,ULVR,120.69,0.2435
2025-06-28,ULVR,120.31,0.2376
2025-06-29,ULVR,120.18,0.244
2025-06-30,ULVR,120.12,0.2138
2025-06-01,KO,139.12,0.3351
2025-06-02,KO,140.57,0.3257
2025-06-03,KO,140.13,0.3324
2025-06-04,KO,140.47,0.4077
2025-06-05,KO,139.21,0.3758
2025-06-06,KO,140.64,0.4073
2025-06-07,KO,139.93,0.3634
2025-06-08,KO,139.95,0.4586
2025-06-09,KO,141.34,0.4311
2025-06-10,KO,139.65,0.4147
2025-06-11,KO,137.55,0.4193
2025-06-12,KO,137.66,0.4446
2025-06-13,KO,138.4,0.4469
2025-06-14,KO,137.85,0.4394
2025-06-15,KO,139.05,0.4371
2025-06-16,KO,141.18,0.4481
2025-06-17,KO,140.51,0.4009
2025-06-18,KO,140.34,0.426
2025-06-19,KO,140.82,0.3971
2025-06-20,KO,140.86,0.4376
2025-06-21,KO,140.43,0.4064
2025-06-22,KO,140.25,0.3819
2025-06-23,KO,139.65,0.39
2025-06-24,KO,139.06,0.4007
2025-06-25,KO,137.48,0.3846
2025-06-26,KO,139.15,0.3557
2025-06-27,KO,141.04,0.335
2025-06-28,KO,141.82,0.3602
2025-06-29,KO,140.96,0.3364
2025-06-30,KO,142.08,0.3321
2025-06-01,JNJ,101.3,0.5114
2025-06-02,JNJ,102.85,0.4898
2025-06-03,JNJ,102.82,0.4963
2025-06-04,JNJ,103.64,0.5075
2025-06-05,JNJ,104.14,0.4976
2025-06-06,JNJ,104.1,0.5421
2025-06-07,JNJ,104.57,0.4924
2025-06-08,JNJ,103.44,0.5705
2025-06-09,JNJ,107.16,0.5676
2025-06-10,JNJ,104.4,0.5821
2025-06-11,JNJ,105.62,0.5994
2025-06-12,JNJ,104.0,0.5868
2025-06-13,JNJ,102.05,0.6189
2025-06-14,JNJ,102.38,0.6011
2025-06-15,JNJ,105.31,0.5747
2025-06-16,JNJ,103.34,0.5851
2025-06-17,JNJ,104.79,0.5434
2025-06-18,JNJ,102.73,0.5683
2025-06-19,JNJ,104.91,0.5753
2025-06-20,JNJ,105.33,0.5893
2025-06-21,JNJ,105.08,0.5578
2025-06-22,JNJ,103.8,0.5413
2025-06-23,JNJ,105.19,0.5211
2025-06-24,JNJ,105.91,0.5387
2025-06-25,JNJ,106.49,0.5807
2025-06-26,JNJ,104.81,0.5375
2025-06-27,JNJ,105.01,0.5408
2025-06-28,JNJ,104.78,0.4936
2025-06-29,JNJ,101.95,0.4695
2025-06-30,JNJ,103.72,0.4657
2025-06-01,PFE,101.74,0.3356
2025-06-02,PFE,103.21,0.3333
2025-06-03,PFE,102.61,0.3747
2025-06-04,PFE,103.37,0.3779
2025-06-05,PFE,105.31,0.3665
2025-06-06,PFE,104.98,0.381
2025-06-07,PFE,106.0,0.4385
2025-06-08,PFE,104.58,0.4167
2025-06-09,PFE,107.86,0.4255
2025-06-10,PFE,105.58,0.4322
2025-06-11,PFE,105.62,0.4635
2025-06-12,PFE,103.42,0.4193
2025-06-13,PFE,103.57,0.4357
2025-06-14,PFE,103.09,0.4426
2025-06-15,PFE,104.51,0.4127
2025-06-16,PFE,104.57,0.4288
2025-06-17,PFE,105.47,0.4669
2025-06-18,PFE,104.96,0.4589
2025-06-19,PFE,105.49,0.459
2025-06-20,PFE,105.06,0.4239
2025-06-21,PFE,105.02,0.4208
2025-06-22,PFE,104.41,0.3878
2025-06-23,PFE,106.66,0.4348
2025-06-24,PFE,108.43,0.4299
2025-06-25,PFE,107.59,0.4207
2025-06-26,PFE,106.29,0.4215
2025-06-27,PFE,105.54,0.3878
2025-06-28,PFE,104.55,0.4001
2025-06-29,PFE,103.47,0.3543
2025-06-30,PFE,103.54,0.3121
2025-06-01,AZN,103.6,0.3819
2025-06-02,AZN,105.25,0.3692
2025-06-03,AZN,104.7,0.3853
2025-06-04,AZN,106.84,0.4145
2025-06-05,AZN,105.45,0.4173
2025-06-06,AZN,106.18,0.4464
2025-06-07,AZN,106.89,0.4149
2025-06-08,AZN,105.73,0.4409
2025-06-09,AZN,108.18,0.4678
2025-06-10,AZN,105.67,0.4638
2025-06-11,AZN,106.21,0.4706
2025-06-12,AZN,104.94,0.4888
2025-06-13,AZN,104.47,0.462
2025-06-14,AZN,104.85,0.4601
2025-06-15,AZN,106.52,0.4852
2025-06-16,AZN,105.79,0.4707
2025-06-17,AZN,106.61,0.4949
2025-06-18,AZN,105.77,0.4776
2025-06-19,AZN,107.5,0.4543
2025-06-20,AZN,106.73,0.469
2025-06-21,AZN,107.51,0.4386
2025-06-22,AZN,106.73,0.469
2025-06-23,AZN,108.38,0.4147
2025-06-24,AZN,107.36,0.4589
2025-06-25,AZN,109.1,0.4319
2025-06-26,AZN,107.74,0.4126
2025-06-27,AZN,107.13,0.4211
2025-06-28,AZN,105.76,0.4057
2025-06-29,AZN,104.11,0.4114
2025-06-30,AZN,104.27,0.4004
